n_estimators,max_depth,learning_rate,subsample,reg_alpha,reg_lambda,val_rmse
200,7,0.05,1.0,0.1,2.0,1.9174
100,7,0.05,1.0,1.0,5.0,1.9229
200,7,0.01,0.8,1.0,5.0,1.9265
100,5,0.01,0.8,0.1,5.0,1.9266
200,5,0.01,1.0,0.0,2.0,1.9268
100,5,0.01,0.8,1.0,5.0,1.9297
100,7,0.05,1.0,0.0,2.0,1.9343
100,7,0.05,1.0,0.1,2.0,1.9354
100,5,0.01,1.0,1.0,5.0,1.9395
100,5,0.01,1.0,0.0,1.0,1.9413
100,5,0.01,1.0,1.0,1.0,1.948
100,3,0.01,1.0,1.0,5.0,1.9574
200,5,0.01,1.0,0.1,1.0,1.9661
100,7,0.1,1.0,1.0,5.0,1.9665
100,5,0.01,1.0,0.1,1.0,1.9681
200,7,0.01,1.0,1.0,5.0,1.9684
200,7,0.1,1.0,1.0,5.0,1.9703
200,7,0.01,1.0,1.0,2.0,1.9724
300,7,0.1,1.0,1.0,5.0,1.9756
100,5,0.01,1.0,0.1,2.0,1.9777
100,3,0.01,1.0,1.0,2.0,1.9807
100,5,0.01,1.0,0.0,2.0,1.9809
100,3,0.01,1.0,0.1,5.0,1.983
100,7,0.01,0.8,0.0,5.0,1.9845
100,7,0.01,1.0,1.0,2.0,1.9875
100,7,0.01,0.8,0.1,5.0,1.9876
100,3,0.01,1.0,0.0,5.0,1.9887
100,7,0.01,1.0,0.1,2.0,1.9928
200,7,0.01,1.0,0.1,5.0,1.9949
100,7,0.01,1.0,0.0,2.0,1.9992
300,7,0.01,1.0,0.1,2.0,2.0021
100,7,0.1,1.0,0.1,1.0,2.0024
200,7,0.05,1.0,0.1,5.0,2.0036
200,7,0.1,1.0,0.1,1.0,2.0041
300,7,0.1,1.0,0.1,1.0,2.0041
300,7,0.01,1.0,0.1,5.0,2.0077
100,7,0.1,1.0,0.0,1.0,2.0086
100,3,0.01,1.0,0.1,2.0,2.0105
100,3,0.01,1.0,0.0,2.0,2.0109
300,7,0.1,1.0,0.0,1.0,2.0138
200,7,0.1,1.0,0.0,1.0,2.0141
300,7,0.01,1.0,0.0,5.0,2.0233
300,7,0.01,1.0,1.0,5.0,2.0241
100,7,0.01,0.8,1.0,5.0,2.0246
200,7,0.01,1.0,0.0,5.0,2.0287
200,7,0.01,1.0,0.0,1.0,2.0306
100,7,0.01,1.0,0.0,5.0,2.0411
200,7,0.01,1.0,0.0,2.0,2.044
300,7,0.01,1.0,0.0,2.0,2.0441
100,7,0.01,1.0,0.1,5.0,2.0466
100,7,0.01,1.0,1.0,5.0,2.0525
200,7,0.01,1.0,0.1,2.0,2.0635
100,7,0.05,1.0,0.1,5.0,2.0668
300,7,0.01,1.0,0.0,1.0,2.1123
200,7,0.01,1.0,0.1,1.0,2.1157
100,7,0.01,1.0,0.0,1.0,2.1258
300,7,0.01,1.0,0.1,1.0,2.149
100,7,0.01,1.0,0.1,1.0,2.1799
100,7,0.05,1.0,0.0,1.0,2.1994
200,7,0.05,1.0,0.0,1.0,2.2045
300,7,0.05,1.0,0.0,1.0,2.2133
100,7,0.05,1.0,0.1,1.0,2.219
200,7,0.05,1.0,0.1,1.0,2.2191
300,7,0.05,1.0,0.1,1.0,2.2193
